date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-01,,,,,,,,,,,
2022-08-02,,,,,,,,,,,
2022-08-03,,,,,,,,,,,
2022-08-04,123.3375,86.14375,935.8125,92.65,67.46875,110.4375,1.776875,0.0,1.4156250000000001,,
2022-08-05,124.07083333333333,83.8875,885.0416666666666,109.3625,62.5625,61.333333333333336,1.2108333333333332,12.208333333333334,1.73125,166.875,110.1875
2022-08-06,157.81666666666666,110.15833333333335,1311.25,132.2125,95.5625,82.70833333333333,1.66375,1.3333333333333333,0.8791666666666668,174.33333333333334,117.45833333333333
2022-08-07,70.12083333333334,49.04583333333333,901.7083333333334,88.91666666666667,60.90416666666667,76.125,0.9874999999999999,0.0,1.125,158.29166666666666,101.16666666666667
2022-08-08,65.24583333333334,45.475,700.7916666666666,78.13333333333334,48.56666666666666,30.25,0.3933333333333333,1.1666666666666667,1.2874999999999999,140.41666666666666,81.375
2022-08-09,75.69166666666666,52.43333333333334,715.0,74.72916666666667,90.00416666666666,23.958333333333332,0.26208333333333333,2.7083333333333335,1.55,141.91666666666666,82.125
2022-08-10,70.6875,49.395833333333336,818.125,85.79583333333333,79.6125,32.125,0.24458333333333335,0.3333333333333333,2.1041666666666665,128.75,77.5
2022-08-11,85.14583333333333,59.59583333333333,879.3333333333334,91.16250000000001,88.3125,43.833333333333336,0.5133333333333333,0.0,1.75,143.25,82.91666666666667
2022-08-12,97.72083333333335,68.28750000000001,951.6666666666666,91.50416666666666,75.9875,55.375,1.23875,0.3333333333333333,0.8895833333333334,153.54166666666666,89.625
2022-08-13,114.72500000000001,78.67916666666666,663.9583333333334,87.8625,54.645833333333336,60.25,1.6354166666666667,0.9166666666666666,0.8937499999999999,161.41666666666666,101.625
